EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,PrecipitationIn, Events,Location
12/1/2014,65,54,42,0.09,Rain,Hoboken
12/2/2014,43,39,35,0.08,Rain,Hoboken
12/3/2014,46,44,41,0.06,Rain,Hoboken
12/4/2014,45,41,37,0,Normal,Hoboken
12/5/2014,44,39,34,0.51,Rain,Hoboken
12/6/2014,50,45,39,1.22,Rain,Hoboken
12/7/2014,42,36,30,0.04,Rain,Hoboken
12/8/2014,37,31,24,0,Normal,Hoboken
12/9/2014,42,39,36,2.54,Rain,Hoboken
12/10/2014,40,36,32,0.08,Rain-Snow,Hoboken
12/11/2014,38,35,31,0.01,Snow,Hoboken
12/12/2014,38,35,32,0,Normal,Hoboken
12/13/2014,44,39,34,0,Normal,Hoboken
12/14/2014,46,42,38,0,Normal,Hoboken
12/15/2014,48,43,37,0,Normal,Hoboken
12/16/2014,49,44,38,0.2,Rain,Hoboken
12/17/2014,54,48,42,0.02,Rain,Hoboken
12/18/2014,42,40,37,0,Normal,Hoboken
12/19/2014,38,35,31,0,Normal,Hoboken
12/20/2014,33,32,30,0,Normal,Hoboken
12/21/2014,36,34,31,0.01,Snow,Hoboken
12/22/2014,44,40,35,0.04,Rain,Hoboken
12/23/2014,46,45,43,0.16,Rain,Hoboken
12/24/2014,58,51,44,0.8,Rain,Hoboken
12/25/2014,62,53,44,0.09,Rain,Hoboken
12/26/2014,50,45,40,0,Normal,Hoboken
12/27/2014,55,50,44,0,Normal,Hoboken
12/28/2014,54,49,43,0.1,Rain,Hoboken
12/29/2014,44,39,34,0,Normal,Hoboken
12/30/2014,34,31,28,0,Normal,Hoboken
12/31/2014,32,30,27,0,Normal,Hoboken
1/1/2015,39,33,27,0,Normal,Hoboken
1/2/2015,42,39,35,0,Normal,Hoboken
1/3/2015,42,38,33,0.71,Rain-Snow,Hoboken
1/4/2015,56,49,41,0.3,Rain,Hoboken
1/5/2015,49,35,21,0,Normal,Hoboken
1/6/2015,22,21,19,0.05,Snow,Hoboken
1/7/2015,23,16,9,0,Normal,Hoboken
1/8/2015,21,15,8,0,Normal,Hoboken
1/9/2015,33,26,19,0.07,Snow,Hoboken
1/10/2015,23,20,16,0,Normal,Hoboken
1/11/2015,37,28,18,0,Normal,Hoboken
1/12/2015,39,37,35,0.36,Rain,Hoboken
1/13/2015,36,27,17,0,Normal,Hoboken
1/14/2015,32,24,16,0,Normal,Hoboken
1/15/2015,35,30,25,0,Normal,Hoboken
1/16/2015,43,32,20,0,Normal,Hoboken
1/17/2015,32,25,17,0,Normal,Hoboken
1/18/2015,42,37,31,2.1,Fog-Rain,Hoboken
1/19/2015,42,39,36,0,Normal,Hoboken
1/20/2015,40,36,32,0,Normal,Hoboken
1/21/2015,36,31,25,0,Normal,Hoboken
1/22/2015,40,36,31,0,Normal,Hoboken
1/23/2015,39,34,28,0,Normal,Hoboken
1/24/2015,39,36,33,0.72,Fog-Rain-Snow,Hoboken
1/25/2015,42,37,31,0,Normal,Hoboken
1/26/2015,31,27,22,0.48,Fog-Snow,Hoboken
1/27/2015,30,25,20,0.36,Fog-Snow,Hoboken
1/28/2015,34,25,16,0,Normal,Hoboken
1/29/2015,36,28,19,0.02,Snow,Hoboken
1/30/2015,38,29,19,0.06,Snow,Hoboken
1/31/2015,26,20,13,0,Normal,Hoboken
2/1/2015,36,28,20,0.03,Snow,Hoboken
9/1/2014,88,82,75,0,Normal,JC
9/2/2014,92,85,77,0,Normal,JC
9/3/2014,86,79,72,0,Normal,JC
9/4/2014,87,78,69,0,Normal,JC
9/5/2014,87,80,72,0,Normal,JC
9/6/2014,91,79,67,0.11,Rain,JC
9/7/2014,81,73,65,0,Normal,JC
9/8/2014,75,70,65,0,Normal,JC
9/9/2014,73,68,63,0,Normal,JC
9/10/2014,80,72,63,0,Normal,JC
9/11/2014,83,76,69,0,Normal,JC
9/12/2014,78,70,62,0,Normal,JC
9/13/2014,69,64,58,0.26,Rain,JC
9/14/2014,71,62,53,0,Normal,JC
9/15/2014,71,63,55,0,Normal,JC
9/16/2014,70,64,58,0.37,Rain,JC
9/17/2014,73,64,55,0,Normal,JC
9/18/2014,76,67,57,0,Normal,JC
9/19/2014,66,60,54,0,Normal,JC
9/20/2014,75,66,57,0,Normal,JC
9/21/2014,75,71,67,0.15,Rain,JC
9/22/2014,71,63,55,T,Rain,JC
9/23/2014,71,62,52,0,Normal,JC
9/24/2014,71,65,58,0,Normal,JC
9/25/2014,64,61,57,0.32,Rain,JC
9/26/2014,77,68,58,0,Normal,JC
9/27/2014,83,72,60,0,Normal,JC
9/28/2014,84,74,64,0,Normal,JC
9/29/2014,79,73,67,0,Normal,JC
9/30/2014,71,67,62,T,Rain,JC
10/1/2014,65,63,61,0.02,Rain,JC
10/2/2014,70,66,61,0,Normal,JC
10/3/2014,71,64,56,0,Normal,JC
10/4/2014,69,61,52,1.18,Fog-Rain,JC
10/5/2014,61,54,46,0,Normal,JC
10/6/2014,69,60,50,0,Normal,JC
10/7/2014,71,67,63,0.06,Rain,JC
10/8/2014,73,68,62,0.04,Rain,JC
10/9/2014,68,62,55,0,Normal,JC
10/10/2014,64,58,52,T,Normal,JC
10/11/2014,60,55,50,0.33,Rain,JC
10/12/2014,63,56,48,0,Normal,JC
10/13/2014,65,59,52,0.05,Rain,JC
10/14/2014,76,70,63,0,Normal,JC
10/15/2014,77,73,69,0.69,Fog-Rain,JC
10/16/2014,71,66,61,1.11,Fog-Rain,JC
10/17/2014,71,65,59,0,Normal,JC
10/18/2014,70,63,56,0,Normal,JC
10/19/2014,56,50,44,0,Normal,JC
10/20/2014,60,51,42,0,Normal,JC
10/21/2014,67,61,55,0.11,Rain,JC
10/22/2014,58,54,50,1.51,Rain,JC
10/23/2014,53,52,50,0.61,Rain,JC
10/24/2014,63,57,51,0,Normal,JC
10/25/2014,67,59,50,0.01,Normal,JC
10/26/2014,63,58,53,T,Rain,JC
10/27/2014,63,56,48,0,Normal,JC
10/28/2014,72,63,53,0,Normal,JC
10/29/2014,72,62,51,T,Rain,JC
10/30/2014,59,53,47,0,Normal,JC
10/31/2014,55,50,45,0.05,Rain,JC
11/1/2014,47,45,42,0.35,Rain,JC
11/2/2014,48,45,41,0,Normal,JC
11/3/2014,61,50,39,0,Normal,JC
11/4/2014,68,61,53,0,Normal,JC
11/5/2014,64,60,56,0,Normal,JC
11/6/2014,57,53,48,0.37,Rain,JC
11/7/2014,53,47,40,0,Normal,JC
11/8/2014,48,42,36,0,Normal,JC
11/9/2014,57,52,46,0,Normal,JC
11/10/2014,61,53,44,0,Normal,JC
11/11/2014,64,57,49,0,Normal,JC
11/12/2014,65,56,47,0,Fog,JC
11/13/2014,48,42,36,0.2,Rain,JC
11/14/2014,42,39,35,0.06,Normal,JC
11/15/2014,42,38,33,0,Normal,JC
11/16/2014,45,40,35,0.03,Rain,JC
11/17/2014,52,46,40,1.54,Fog-Rain,JC
11/18/2014,45,35,24,0,Normal,JC
11/19/2014,36,29,22,0,Normal,JC
11/20/2014,45,38,31,0,Normal,JC
11/21/2014,37,33,28,0,Normal,JC
11/22/2014,44,36,28,0,Normal,JC
11/23/2014,57,50,43,0,Normal,JC
11/24/2014,69,61,53,0.7,Rain,JC
11/25/2014,68,60,51,0,Normal,JC
11/26/2014,51,43,34,1.24,Rain-Snow,JC
11/27/2014,38,36,34,0.02,Snow,JC
11/28/2014,37,33,29,0,Normal,JC
11/29/2014,45,36,27,0,Normal,JC
11/30/2014,55,50,45,0,Normal,JC
12/1/2014,65,54,42,0.09,Rain,JC
12/2/2014,43,39,35,0.08,Rain,JC
12/3/2014,46,44,41,0.06,Rain,JC
12/4/2014,45,41,37,0,Normal,JC
12/5/2014,44,39,34,0.51,Rain,JC
12/6/2014,50,45,39,1.22,Rain,JC
12/7/2014,42,36,30,0.04,Rain,JC
12/8/2014,37,31,24,0,Normal,JC
12/9/2014,42,39,36,2.54,Rain,JC
12/10/2014,40,36,32,0.08,Rain-Snow,JC
12/11/2014,38,35,31,0.01,Snow,JC
12/12/2014,38,35,32,0,Normal,JC
12/13/2014,44,39,34,0,Normal,JC
12/14/2014,46,42,38,0,Normal,JC
12/15/2014,48,43,37,0,Normal,JC
12/16/2014,49,44,38,0.2,Rain,JC
12/17/2014,54,48,42,0.02,Rain,JC
12/18/2014,42,40,37,0,Normal,JC
12/19/2014,38,35,31,0,Normal,JC
12/20/2014,33,32,30,0,Normal,JC
12/21/2014,36,34,31,T,Snow,JC
12/22/2014,44,40,35,0.04,Rain,JC
12/23/2014,46,45,43,0.16,Rain,JC
12/24/2014,58,51,44,0.8,Rain,JC
12/25/2014,62,53,44,0.09,Rain,JC
12/26/2014,50,45,40,0,Normal,JC
12/27/2014,55,50,44,0,Normal,JC
12/28/2014,54,49,43,0.1,Rain,JC
12/29/2014,44,39,34,0,Normal,JC
12/30/2014,34,31,28,0,Normal,JC
12/31/2014,32,30,27,0,Normal,JC
1/1/2015,39,33,27,0,Normal,JC
1/2/2015,42,39,35,0,Normal,JC
1/3/2015,42,38,33,0.71,Rain-Snow,JC
1/4/2015,56,49,41,0.3,Rain,JC
1/5/2015,49,35,21,0,Normal,JC
1/6/2015,22,21,19,0.05,Snow,JC
1/7/2015,23,16,9,0,Normal,JC
1/8/2015,21,15,8,0,Normal,JC
1/9/2015,33,26,19,0.07,Snow,JC
1/10/2015,23,20,16,0,Normal,JC
1/11/2015,37,28,18,0,Normal,JC
1/12/2015,39,37,35,0.36,Rain,JC
1/13/2015,36,27,17,0,Normal,JC
1/14/2015,32,24,16,0,Normal,JC
1/15/2015,35,30,25,0,Normal,JC
1/16/2015,43,32,20,0,Normal,JC
1/17/2015,32,25,17,0,Normal,JC
1/18/2015,42,37,31,2.1,Fog-Rain,JC
1/19/2015,42,39,36,0,Normal,JC
1/20/2015,40,36,32,0,Normal,JC
1/21/2015,36,31,25,0,Normal,JC
1/22/2015,40,36,31,0,Normal,JC
1/23/2015,39,34,28,0,Normal,JC
1/24/2015,39,36,33,0.72,Fog-Rain-Snow,JC
1/25/2015,42,37,31,0,Normal,JC
1/26/2015,31,27,22,0.48,Fog-Snow,JC
1/27/2015,30,25,20,0.36,Fog-Snow,JC
1/28/2015,34,25,16,0,Normal,JC
1/29/2015,36,28,19,0.02,Snow,JC
1/30/2015,38,29,19,0.06,Snow,JC
1/31/2015,26,20,13,0,Normal,JC
2/1/2015,36,28,20,0.03,Snow,JC
